Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
150.0	2017-12-22	call	NVDA171222C00150000	55.0	64.0	68.35	0.0	0.0	6.0	6.0	0.8254411987304686	NVDA	False	NVDA	214.18	2017-11-14 21:00:00	2017-11-11 04:48:30	{'impliedVolatility': 0.8254411987304686, 'contractSymbol': 'NVDA171222C00150000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 68.35, 'change': 0.0, 'bid': 64.0, 'currency': 'USD', 'strike': 150.0, 'openInterest': 6, 'volume': 6, 'inTheMoney': True, 'lastPrice': 55.0, 'lastTradeDate': 1510375710, 'percentChange': 0.0}
155.0	2017-12-22	call	NVDA171222C00155000	59.65	57.85	60.85	0.0	0.0	1.0	1.0	0.7307155834960937	NVDA	False	NVDA	214.18	2017-11-14 21:00:00	2017-11-15 04:20:04	{'impliedVolatility': 0.7307155834960937, 'contractSymbol': 'NVDA171222C00155000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 60.85, 'change': 0.0, 'bid': 57.85, 'currency': 'USD', 'strike': 155.0, 'openInterest': 1, 'volume': 1, 'inTheMoney': True, 'lastPrice': 59.65, 'lastTradeDate': 1510719604, 'percentChange': 0.0}
165.0	2017-12-22	call	NVDA171222C00165000	47.2	47.85	51.0	-0.80999756	-1.6871436	3.0	31.0	0.6320837573242188	NVDA	False	NVDA	214.18	2017-11-14 21:00:00	2017-11-14 15:24:14	{'impliedVolatility': 0.6320837573242188, 'contractSymbol': 'NVDA171222C00165000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 51.0, 'change': -0.80999756, 'bid': 47.85, 'currency': 'USD', 'strike': 165.0, 'openInterest': 31, 'volume': 3, 'inTheMoney': True, 'lastPrice': 47.2, 'lastTradeDate': 1510673054, 'percentChange': -1.6871436}
170.0	2017-12-22	call	NVDA171222C00170000	35.7	44.7	48.15	0.0	0.0	2.0	4.0	0.6123085644531252	NVDA	False	NVDA	214.18	2017-11-14 21:00:00	2017-11-09 14:51:10	{'impliedVolatility': 0.6123085644531252, 'contractSymbol': 'NVDA171222C00170000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 48.15, 'change': 0.0, 'bid': 44.7, 'currency': 'USD', 'strike': 170.0, 'openInterest': 4, 'volume': 2, 'inTheMoney': True, 'lastPrice': 35.7, 'lastTradeDate': 1510239070, 'percentChange': 0.0}
175.0	2017-12-22	call	NVDA171222C00175000	38.95	38.1	41.3	0.0	0.0	2.0	33.0	0.5454147021484376	NVDA	False	NVDA	214.18	2017-11-14 21:00:00	2017-11-13 20:39:02	{'impliedVolatility': 0.5454147021484376, 'contractSymbol': 'NVDA171222C00175000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 41.3, 'change': 0.0, 'bid': 38.1, 'currency': 'USD', 'strike': 175.0, 'openInterest': 33, 'volume': 2, 'inTheMoney': True, 'lastPrice': 38.95, 'lastTradeDate': 1510605542, 'percentChange': 0.0}
180.0	2017-12-22	call	NVDA171222C00180000	33.5	34.0	35.45	-2.7000008	-7.458565	100.0	113.0	0.42127043579101564	NVDA	False	NVDA	214.18	2017-11-14 21:00:00	2017-11-14 15:06:59	{'impliedVolatility': 0.42127043579101564, 'contractSymbol': 'NVDA171222C00180000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 35.45, 'change': -2.7000008, 'bid': 34.0, 'currency': 'USD', 'strike': 180.0, 'openInterest': 113, 'volume': 100, 'inTheMoney': True, 'lastPrice': 33.5, 'lastTradeDate': 1510672019, 'percentChange': -7.458565}
182.5	2017-12-22	call	NVDA171222C00182500	28.4	28.5	30.4	0.0	0.0	10.0	5.0	1.0000000000000003e-05	NVDA	False	NVDA	214.18	2017-11-14 21:00:00	2017-11-04 03:48:09	{'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'NVDA171222C00182500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 30.4, 'change': 0.0, 'bid': 28.5, 'currency': 'USD', 'strike': 182.5, 'openInterest': 5, 'volume': 10, 'inTheMoney': True, 'lastPrice': 28.4, 'lastTradeDate': 1509767289, 'percentChange': 0.0}
185.0	2017-12-22	call	NVDA171222C00185000	29.55	29.35	31.45	0.0	0.0	2.0	12.0	0.4437311486816406	NVDA	False	NVDA	214.18	2017-11-14 21:00:00	2017-11-13 15:15:06	{'impliedVolatility': 0.4437311486816406, 'contractSymbol': 'NVDA171222C00185000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 31.45, 'change': 0.0, 'bid': 29.35, 'currency': 'USD', 'strike': 185.0, 'openInterest': 12, 'volume': 2, 'inTheMoney': True, 'lastPrice': 29.55, 'lastTradeDate': 1510586106, 'percentChange': 0.0}
187.5	2017-12-22	call	NVDA171222C00187500	23.0	28.8	31.05	0.0	0.0	20.0	20.0	0.5350388293457031	NVDA	False	NVDA	214.18	2017-11-14 21:00:00	2017-11-11 04:48:30	{'impliedVolatility': 0.5350388293457031, 'contractSymbol': 'NVDA171222C00187500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 31.05, 'change': 0.0, 'bid': 28.8, 'currency': 'USD', 'strike': 187.5, 'openInterest': 20, 'volume': 20, 'inTheMoney': True, 'lastPrice': 23.0, 'lastTradeDate': 1510375710, 'percentChange': 0.0}
190.0	2017-12-22	call	NVDA171222C00190000	25.0	24.25	27.1	0.0	0.0	13.0	13.0	0.42542078491210944	NVDA	False	NVDA	214.18	2017-11-14 21:00:00	2017-11-13 16:18:24	{'impliedVolatility': 0.42542078491210944, 'contractSymbol': 'NVDA171222C00190000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 27.1, 'change': 0.0, 'bid': 24.25, 'currency': 'USD', 'strike': 190.0, 'openInterest': 13, 'volume': 13, 'inTheMoney': True, 'lastPrice': 25.0, 'lastTradeDate': 1510589904, 'percentChange': 0.0}
